No. of runs,No. of wins,Mean turns to win,Median of win turns,Mode of win turns
10,2,3.0,1,0
100,43,35.75,11,9
25,5,7.5,2,2
10,4,3.5,1,1
25,8,8.25,2,2
25,8,8.25,2,2
25,9,8.5,3,3
10,5,3.75,1,1
10,3,3.25,1,0
5,2,1.75,1,0
5,2,1.75,1,0
10,3,3.25,1,1
10,5,3.75,2,2
10,3,3.25,1,0
10,1,2.75,0,0
10,3,3.25,1,0
15,5,5.0,2,0
100,43,35.75,14,14
100,44,36.0,10,21
100,41,35.25,12,17
100,29,32.25,8,11
100,39,34.75,10,10
100,21,30.25,5,2
100,45,36.25,13,17
100,38,34.5,13,5
100,37,34.25,12,12
10,6,4.0,2,0
15,3,4.5,1,0
1,1,0.5,0,0
